PhoneBucket,AddressBucket,leads,good_rate,closed_rate
Low,Low,1682,0.12960760998810938,0.089179548156956
Low,Medium,16,0.125,0.0625
Low,High,93,0.10752688172043011,0.053763440860215055
Medium,Low,117,0.13675213675213677,0.07692307692307693
Medium,Medium,47,0.0851063829787234,0.0425531914893617
Medium,High,263,0.11406844106463879,0.06463878326996197
High,Low,211,0.13270142180094788,0.07582938388625593
High,Medium,30,0.1,0.06666666666666667
High,High,562,0.14590747330960854,0.07651245551601424
