Partner,leads,good_rate,bad_rate,closed_rate
AdKnowledge,171,0.1871345029239766,0.13450292397660818,0.12280701754385964
Call_Center,271,0.16236162361623616,0.24354243542435425,0.0959409594095941
yahoo,958,0.1419624217118998,0.1534446764091858,0.07724425887265135
google,979,0.13789581205311544,0.15934627170582227,0.09908069458631256
Google,639,0.07042253521126761,0.15023474178403756,0.0406885758998435
