,0
PhoneScore,0.08069248555941924
AddressScore,0.06166802325543183
Partner_google,0.04069747430058777
Partner_yahoo,0.04009394209935321
WidgetName_w-302252-DebtReduction1-1DC-CreditSolutions,0.038282644319923446
DebtLevel_30001-50000,0.03563567184708854
DebtLevel_20001-30000,0.03373947993566714
DebtLevel_15001-20000,0.03325758495005864
State_CA,0.028466079076445067
State_TX,0.027221303135743204
DebtLevel_50001-70000,0.024129766952917603
WidgetName_w-302252-DebtReduction1-1DC-white,0.023779937148023008
State_FL,0.022804706601921396
WidgetName_w-302252-DebtReduction1-1DC,0.022675632000342987
Partner_Google,0.021678996642185425
State_NY,0.020515466321417385
WidgetName_w-302252-DebtReduction1-1DC-yellowarrow-blue,0.019327425359905226
State_VA,0.018891263281383863
State_MI,0.018282142278469107
DebtLevel_70001-90000,0.017639607502068874
DebtLevel_7500-15000,0.01719095335879472
Partner_Call_Center,0.0169844863739911
State_IL,0.016840708154792293
DebtLevel_7500-10000,0.01611119709266154
State_AL,0.013935607186269088
State_AZ,0.013933860478251724
State_OK,0.013516412913130297
DebtLevel_More_than_100000,0.01338188541871605
State_CO,0.01267583722965787
DebtLevel_90000-100000,0.012660035905677247
WidgetName_w-300250-DebtReduction1-1DC-BlueMeter,0.012292423011647824
State_LA,0.012162318633581762
WidgetName_w-300250-DebtReduction1-1DC-CreditSolutions,0.0119732379781061
WidgetName_w-300250-DebtReduction1-1DC-Head2,0.0118153647166642
State_MO,0.011330557358285427
State_NV,0.011160214765503652
WidgetName_w-300250-DebtReduction1-2DC-BlueMeter,0.0110862310214967
State_MA,0.010647510320096896
WidgetName_w-302252-DebtReduction1-1DC-yellowarrow-dark,0.010409161940901114
WidgetName_w-300250-DebtReduction1-2DC-CreditSolutions,0.010220187244158763
State_MD,0.010012983842987794
State_PA,0.009649490225234267
State_HI,0.009483152671686703
WidgetName_w-302252-DebtReduction1-1DC-yellowarrow,0.009224626165074126
State_OR,0.008665113740811425
State_WV,0.008383421232805126
State_AR,0.00717740877313591
State_CT,0.006551653488295216
WidgetName_w-300250-DebtReduction1-1DC-Head3,0.006120149955267063
State_NE,0.006058725220460005
State_WA,0.0051534810908986355
State_MT,0.0050847697725894675
State_NM,0.004965993684059428
State_IA,0.003766149111291047
State_IN,0.003307121170867026
State_SD,0.0023322446806588897
WidgetName_w-300250-DebtReduction1-1DC-white,0.0019423927075064853
Partner_Advertise.com,0.0019250873278957195
State_ND,0.00026121692189920816
State_DC,0.00012699454583928405
